Status,Date,Description,Debit,Credit
Cleared,04/01/2025,PAYMENT RECEIVED ONLINE - THANK YOU,,430.00
Cleared,04/04/2025,TRADER JOE'S #344,54.30,
Cleared,04/07/2025,HOME DEPOT #0822,89.40,
Cleared,04/10/2025,COMCAST CABLE PAYMENT,94.99,
Cleared,04/13,2025,BEST BUY,129.99,
Cleared,04/16,2025,HULU,17.99,
Cleared,04/19,2025,PLANET FITNESS,24.99,
Cleared,04/22,2025,WALGREENS PHARMACY,38.45,
Cleared,04/25,2025,LOWES STORE #2344,145.80,
Cleared,04/28,2025,DUNKIN' #0341,7.55,
Cleared,05/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,510.00
Cleared,05/04,2025,TRADER JOE'S #344,62.40,
Cleared,05/07,2025,HOME DEPOT #0822,112.30,
Cleared,05/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,05/13,2025,BEST BUY,88.50,
Cleared,05/16,2025,HULU,17.99,
Cleared,05/19,2025,PLANET FITNESS,24.99,
Cleared,05/22,2025,CVS PHARMACY,29.80,
Cleared,05/25,2025,LOWES STORE #2344,78.40,
Cleared,05/28,2025,DUNKIN' #0341,8.90,
Cleared,06/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,480.00
Cleared,06/04,2025,TRADER JOE'S #344,58.70,
Cleared,06/07,2025,HOME DEPOT #0822,234.60,
Cleared,06/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,06/13,2025,WAYFAIR,188.00,
Cleared,06/16,2025,HULU,17.99,
Cleared,06/19,2025,PLANET FITNESS,24.99,
Cleared,06/22,2025,WALGREENS PHARMACY,44.20,
Cleared,06/25,2025,LOWES STORE #2344,166.40,
Cleared,06/28,2025,DUNKIN' #0341,6.75,
Cleared,07/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,430.00
Cleared,07/04,2025,TRADER JOE'S #344,66.80,
Cleared,07/07,2025,HOME DEPOT #0822,98.20,
Cleared,07/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,07/13,2025,BEST BUY,64.99,
Cleared,07/16,2025,HULU,17.99,
Cleared,07/19,2025,PLANET FITNESS,24.99,
Cleared,07/22,2025,CVS PHARMACY,22.60,
Cleared,07/25,2025,LOWES STORE #2344,82.30,
Cleared,07/28,2025,DUNKIN' #0341,9.10,
Cleared,08/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,510.00
Cleared,08/04,2025,TRADER JOE'S #344,70.40,
Cleared,08/07,2025,HOME DEPOT #0822,122.80,
Cleared,08/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,08/13,2025,WAYFAIR,299.00,
Cleared,08/16,2025,HULU,17.99,
Cleared,08/19,2025,PLANET FITNESS,24.99,
Cleared,08/22,2025,WALGREENS PHARMACY,31.40,
Cleared,08/25,2025,LOWES STORE #2344,55.60,
Cleared,08/28,2025,DUNKIN' #0341,7.80,
Cleared,09/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,480.00
Cleared,09/04,2025,TRADER JOE'S #344,64.20,
Cleared,09/07,2025,HOME DEPOT #0822,188.90,
Cleared,09/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,09/13,2025,BEST BUY,149.99,
Cleared,09/16,2025,HULU,17.99,
Cleared,09/19,2025,PLANET FITNESS,24.99,
Cleared,09/22,2025,CVS PHARMACY,35.70,
Cleared,09/25,2025,LOWES STORE #2344,112.40,
Cleared,09/28,2025,DUNKIN' #0341,8.20,
Cleared,10/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,520.00
Cleared,10/04,2025,TRADER JOE'S #344,75.80,
Cleared,10/07,2025,HOME DEPOT #0822,145.60,
Cleared,10/10,2025,COMCAST CABLE PAYMENT,94.99,
Cleared,10/13,2025,BEST BUY,199.99,
Cleared,10/16,2025,HULU,17.99,
Cleared,10/19,2025,PLANET FITNESS,24.99,
Cleared,10/22,2025,WALGREENS PHARMACY,40.80,
Cleared,10/25,2025,LOWES STORE #2344,92.70,
Cleared,10/28,2025,DUNKIN' #0341,10.40,
Cleared,11/01,2025,PAYMENT RECEIVED ONLINE - THANK YOU,,490.00
Cleared,11/04,2025,TRADER JOE'S #344,80.40,
