Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
06/25/2024,STARBUCKS,13.61,,,,,,,USA,,
06/10/2024,STARBUCKS,14.99,,,,,,,USA,,
06/26/2024,AMAZON.COM,66.60,,,,,,,USA,,
06/13/2024,TARGET START,42.13,,,,,,,USA,,
06/28/2024,AMAZON.COM,23.41,,,,,,,USA,,
06/01/2024,AMAZON.COM,103.89,,,,,,,USA,,
06/06/2024,STARBUCKS,13.00,,,,,,,USA,,
06/12/2024,TARGET START,48.81,,,,,,,USA,,
06/24/2024,UBER,42.66,,,,,,,USA,,
06/18/2024,UBER,39.65,,,,,,,USA,,
06/25/2024,MOBILE PAYMENT - THANK YOU,-367.88,,,,,,,USA,,
07/22/2024,UBER,19.61,,,,,,,USA,,
07/01/2024,UBER,23.22,,,,,,,USA,,
07/05/2024,MCDONALDS,10.87,,,,,,,USA,,
07/17/2024,WHOLE FOODS MARKET,83.17,,,,,,,USA,,
07/26/2024,AMAZON.COM,113.62,,,,,,,USA,,
07/25/2024,STARBUCKS,5.69,,,,,,,USA,,
07/17/2024,TARGET START,97.98,,,,,,,USA,,
07/28/2024,WHOLE FOODS MARKET,143.56,,,,,,,USA,,
07/05/2024,TARGET START,60.00,,,,,,,USA,,
07/16/2024,MCDONALDS,13.63,,,,,,,USA,,
07/25/2024,MOBILE PAYMENT - THANK YOU,-514.20,,,,,,,USA,,
08/17/2024,WHOLE FOODS MARKET,125.24,,,,,,,USA,,
08/13/2024,MCDONALDS,19.86,,,,,,,USA,,
08/12/2024,MCDONALDS,18.87,,,,,,,USA,,
08/25/2024,STARBUCKS,6.19,,,,,,,USA,,
08/13/2024,STARBUCKS,9.83,,,,,,,USA,,
08/06/2024,MCDONALDS,12.62,,,,,,,USA,,
08/26/2024,WHOLE FOODS MARKET,85.16,,,,,,,USA,,
08/19/2024,UBER,15.12,,,,,,,USA,,
08/11/2024,AMAZON.COM,35.48,,,,,,,USA,,
08/27/2024,WHOLE FOODS MARKET,141.62,,,,,,,USA,,
08/25/2024,MOBILE PAYMENT - THANK YOU,-422.99,,,,,,,USA,,
09/11/2024,MCDONALDS,14.67,,,,,,,USA,,
09/12/2024,AMAZON.COM,86.05,,,,,,,USA,,
09/25/2024,TARGET START,83.79,,,,,,,USA,,
09/08/2024,WHOLE FOODS MARKET,149.99,,,,,,,USA,,
09/13/2024,UBER,23.65,,,,,,,USA,,
09/23/2024,WHOLE FOODS MARKET,134.10,,,,,,,USA,,
09/05/2024,WHOLE FOODS MARKET,126.63,,,,,,,USA,,
09/24/2024,MCDONALDS,19.06,,,,,,,USA,,
09/25/2024,TARGET START,86.41,,,,,,,USA,,
09/09/2024,AMAZON.COM,54.43,,,,,,,USA,,
09/25/2024,MOBILE PAYMENT - THANK YOU,-700.90,,,,,,,USA,,
10/11/2024,UBER,22.90,,,,,,,USA,,
10/19/2024,WHOLE FOODS MARKET,141.68,,,,,,,USA,,
10/22/2024,STARBUCKS,14.64,,,,,,,USA,,
10/27/2024,AMAZON.COM,108.85,,,,,,,USA,,
10/11/2024,AMAZON.COM,23.81,,,,,,,USA,,
10/20/2024,AMAZON.COM,46.42,,,,,,,USA,,
10/27/2024,WHOLE FOODS MARKET,138.99,,,,,,,USA,,
10/20/2024,UBER,35.06,,,,,,,USA,,
10/25/2024,TARGET START,50.01,,,,,,,USA,,
10/13/2024,UBER,40.71,,,,,,,USA,,
10/25/2024,MOBILE PAYMENT - THANK YOU,-560.76,,,,,,,USA,,
11/02/2024,TARGET START,49.62,,,,,,,USA,,
11/20/2024,STARBUCKS,14.86,,,,,,,USA,,
11/11/2024,WHOLE FOODS MARKET,146.91,,,,,,,USA,,
11/23/2024,TARGET START,55.60,,,,,,,USA,,
11/15/2024,AMAZON.COM,36.37,,,,,,,USA,,
11/22/2024,WHOLE FOODS MARKET,129.97,,,,,,,USA,,
11/27/2024,MCDONALDS,18.26,,,,,,,USA,,
11/11/2024,MCDONALDS,14.29,,,,,,,USA,,
11/28/2024,MCDONALDS,12.14,,,,,,,USA,,
11/20/2024,WHOLE FOODS MARKET,143.42,,,,,,,USA,,
11/25/2024,MOBILE PAYMENT - THANK YOU,-559.30,,,,,,,USA,,
