Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,06/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,8500.00,
CREDIT,06/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,12000.00,
DEBIT,06/02/2024,UBER,-36.40,POS,11963.60,
DEBIT,06/14/2024,STARBUCKS,-5.41,POS,11958.19,
DEBIT,06/11/2024,STARBUCKS,-11.10,POS,11947.09,
DEBIT,06/22/2024,AMAZON.COM,-91.43,POS,11855.66,
DEBIT,06/23/2024,TARGET START,-86.29,POS,11769.36,
DEBIT,06/25/2024,AMEX EPAYMENT ACH PMT,-367.88,ACH_DEBIT,11401.48,
DEBIT,06/25/2024,CITI AUTOPAY PAYMENT,-706.57,ACH_DEBIT,10694.91,
CREDIT,07/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,14194.91,
CREDIT,07/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,17694.91,
DEBIT,07/22/2024,MCDONALDS,-12.79,POS,17682.12,
DEBIT,07/01/2024,TARGET START,-49.23,POS,17632.89,
DEBIT,07/13/2024,UBER,-15.97,POS,17616.92,
DEBIT,07/19/2024,STARBUCKS,-7.95,POS,17608.97,
DEBIT,07/14/2024,WHOLE FOODS MARKET,-122.18,POS,17486.79,
DEBIT,07/25/2024,AMEX EPAYMENT ACH PMT,-514.20,ACH_DEBIT,16972.59,
DEBIT,07/25/2024,CITI AUTOPAY PAYMENT,-432.92,ACH_DEBIT,16539.67,
CREDIT,08/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,20039.67,
CREDIT,08/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,23539.67,
DEBIT,08/09/2024,MCDONALDS,-17.37,POS,23522.30,
DEBIT,08/05/2024,UBER,-37.47,POS,23484.83,
DEBIT,08/20/2024,UBER,-40.50,POS,23444.33,
DEBIT,08/19/2024,AMAZON.COM,-33.20,POS,23411.13,
DEBIT,08/20/2024,TARGET START,-40.65,POS,23370.48,
DEBIT,08/25/2024,AMEX EPAYMENT ACH PMT,-422.99,ACH_DEBIT,22947.49,
DEBIT,08/25/2024,CITI AUTOPAY PAYMENT,-289.05,ACH_DEBIT,22658.44,
CREDIT,09/03/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,26158.44,
CREDIT,09/18/2024,PAYROLL DIRECT DEPOSIT,3500.00,ACH_CREDIT,29658.44,
DEBIT,09/01/2024,TARGET START,-79.53,POS,29578.91,
DEBIT,09/20/2024,WHOLE FOODS MARKET,-109.18,POS,29469.73,
DEBIT,09/04/2024,UBER,-34.07,POS,29435.66,
DEBIT,09/04/2024,TARGET START,-87.96,POS,29347.71,
DEBIT,09/11/2024,MCDONALDS,-18.62,POS,29329.09,
DEBIT,09/25/2024,AMEX EPAYMENT ACH PMT,-700.90,ACH_DEBIT,28628.19,
DEBIT,09/25/2024,CITI AUTOPAY PAYMENT,-645.47,ACH_DEBIT,27982.72,
