Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
06/09/2024,TARGET START,96.33,,,,,,,USA,,
06/13/2024,TARGET START,70.22,,,,,,,USA,,
06/14/2024,STARBUCKS,8.43,,,,,,,USA,,
06/10/2024,TARGET START,43.87,,,,,,,USA,,
06/04/2024,TARGET START,74.52,,,,,,,USA,,
06/05/2024,TARGET START,81.22,,,,,,,USA,,
06/11/2024,STARBUCKS,12.17,,,,,,,USA,,
06/16/2024,WHOLE FOODS MARKET,139.91,,,,,,,USA,,
06/28/2024,WHOLE FOODS MARKET,140.19,,,,,,,USA,,
06/17/2024,TARGET START,76.16,,,,,,,USA,,
06/25/2024,PAYMENT THANK YOU,-668.71,,,,,,,USA,,
07/08/2024,WHOLE FOODS MARKET,121.26,,,,,,,USA,,
07/11/2024,AMAZON.COM,46.28,,,,,,,USA,,
07/10/2024,WHOLE FOODS MARKET,85.80,,,,,,,USA,,
07/10/2024,STARBUCKS,14.40,,,,,,,USA,,
07/07/2024,AMAZON.COM,99.15,,,,,,,USA,,
07/25/2024,AMAZON.COM,104.86,,,,,,,USA,,
07/15/2024,AMAZON.COM,33.42,,,,,,,USA,,
07/22/2024,WHOLE FOODS MARKET,100.58,,,,,,,USA,,
07/23/2024,STARBUCKS,8.14,,,,,,,USA,,
07/28/2024,TARGET START,71.17,,,,,,,USA,,
07/25/2024,PAYMENT THANK YOU,-616.56,,,,,,,USA,,
08/04/2024,STARBUCKS,13.87,,,,,,,USA,,
08/04/2024,TARGET START,53.41,,,,,,,USA,,
08/19/2024,MCDONALDS,10.89,,,,,,,USA,,
08/25/2024,MCDONALDS,12.63,,,,,,,USA,,
08/28/2024,AMAZON.COM,21.49,,,,,,,USA,,
08/01/2024,WHOLE FOODS MARKET,148.86,,,,,,,USA,,
08/12/2024,WHOLE FOODS MARKET,137.99,,,,,,,USA,,
08/25/2024,UBER,27.04,,,,,,,USA,,
08/03/2024,TARGET START,74.62,,,,,,,USA,,
08/15/2024,MCDONALDS,19.80,,,,,,,USA,,
08/25/2024,PAYMENT THANK YOU,-468.54,,,,,,,USA,,
09/27/2024,WHOLE FOODS MARKET,92.65,,,,,,,USA,,
09/06/2024,MCDONALDS,15.59,,,,,,,USA,,
09/16/2024,AMAZON.COM,31.80,,,,,,,USA,,
09/15/2024,WHOLE FOODS MARKET,83.60,,,,,,,USA,,
09/09/2024,STARBUCKS,13.05,,,,,,,USA,,
09/04/2024,MCDONALDS,19.23,,,,,,,USA,,
09/08/2024,UBER,16.51,,,,,,,USA,,
09/15/2024,AMAZON.COM,97.21,,,,,,,USA,,
09/27/2024,TARGET START,54.00,,,,,,,USA,,
09/04/2024,TARGET START,97.34,,,,,,,USA,,
09/25/2024,PAYMENT THANK YOU,-468.89,,,,,,,USA,,
10/26/2024,WHOLE FOODS MARKET,140.70,,,,,,,USA,,
10/07/2024,WHOLE FOODS MARKET,124.31,,,,,,,USA,,
10/26/2024,AMAZON.COM,66.93,,,,,,,USA,,
10/27/2024,WHOLE FOODS MARKET,129.26,,,,,,,USA,,
10/07/2024,WHOLE FOODS MARKET,137.40,,,,,,,USA,,
10/04/2024,AMAZON.COM,106.45,,,,,,,USA,,
10/11/2024,STARBUCKS,5.37,,,,,,,USA,,
10/28/2024,TARGET START,98.44,,,,,,,USA,,
10/10/2024,STARBUCKS,8.41,,,,,,,USA,,
10/09/2024,MCDONALDS,18.94,,,,,,,USA,,
10/25/2024,PAYMENT THANK YOU,-752.60,,,,,,,USA,,
