Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,State,Zip Code,Country,Reference,Category
06/20/2024,AMAZON.COM,56.78,,,,,,,USA,,
06/28/2024,WHOLE FOODS MARKET,117.72,,,,,,,USA,,
06/11/2024,MCDONALDS,14.93,,,,,,,USA,,
06/06/2024,WHOLE FOODS MARKET,127.23,,,,,,,USA,,
06/19/2024,UBER,16.01,,,,,,,USA,,
06/20/2024,UBER,33.31,,,,,,,USA,,
06/17/2024,MCDONALDS,16.31,,,,,,,USA,,
06/18/2024,MCDONALDS,17.18,,,,,,,USA,,
06/24/2024,UBER,23.54,,,,,,,USA,,
06/12/2024,STARBUCKS,8.51,,,,,,,USA,,
06/25/2024,ONLINE PAYMENT - THANK YOU,-388.38,,,,,,,USA,,
07/09/2024,STARBUCKS,10.82,,,,,,,USA,,
07/09/2024,MCDONALDS,12.53,,,,,,,USA,,
07/02/2024,UBER,30.83,,,,,,,USA,,
07/01/2024,MCDONALDS,10.65,,,,,,,USA,,
07/20/2024,STARBUCKS,13.85,,,,,,,USA,,
07/05/2024,WHOLE FOODS MARKET,143.44,,,,,,,USA,,
07/08/2024,MCDONALDS,10.13,,,,,,,USA,,
07/24/2024,AMAZON.COM,66.71,,,,,,,USA,,
07/08/2024,AMAZON.COM,69.35,,,,,,,USA,,
07/14/2024,TARGET START,76.66,,,,,,,USA,,
07/25/2024,ONLINE PAYMENT - THANK YOU,-400.49,,,,,,,USA,,
08/23/2024,TARGET START,42.77,,,,,,,USA,,
08/28/2024,STARBUCKS,13.82,,,,,,,USA,,
08/22/2024,STARBUCKS,11.34,,,,,,,USA,,
08/15/2024,WHOLE FOODS MARKET,90.58,,,,,,,USA,,
08/27/2024,TARGET START,57.37,,,,,,,USA,,
08/28/2024,STARBUCKS,13.02,,,,,,,USA,,
08/19/2024,TARGET START,60.46,,,,,,,USA,,
08/04/2024,UBER,26.02,,,,,,,USA,,
08/24/2024,WHOLE FOODS MARKET,135.10,,,,,,,USA,,
08/07/2024,WHOLE FOODS MARKET,140.39,,,,,,,USA,,
08/25/2024,ONLINE PAYMENT - THANK YOU,-531.77,,,,,,,USA,,
09/19/2024,AMAZON.COM,32.97,,,,,,,USA,,
09/06/2024,TARGET START,96.83,,,,,,,USA,,
09/03/2024,UBER,24.72,,,,,,,USA,,
09/14/2024,AMAZON.COM,62.98,,,,,,,USA,,
09/05/2024,STARBUCKS,11.52,,,,,,,USA,,
09/18/2024,AMAZON.COM,106.76,,,,,,,USA,,
09/02/2024,TARGET START,98.24,,,,,,,USA,,
09/06/2024,AMAZON.COM,67.33,,,,,,,USA,,
09/12/2024,MCDONALDS,15.14,,,,,,,USA,,
09/18/2024,AMAZON.COM,40.16,,,,,,,USA,,
